away_line,away_line_num,away_line_odds,away_money_line_num,away_money_line_odds,away_score,away_team,date,home_line,home_line_num,home_line_odds,home_money_line_num,home_money_line_odds,home_score,home_team,id,over_num,over_odds,over_under,under_num,under_odds
-2.5,327,1.75,142,1.7,109,洛杉磯快艇,20151227,+2.5,315,1.75,130,1.8,104,猶他爵士,481,175,1.75,192.5,135,1.75
+12.5,410,1.75,,,111,費城76人,20151227,-12.5,692,1.75,,,104,鳳凰城太陽,480,241,1.75,205.5,252,1.75
-7.5,416,1.75,282,1.2,76,克里夫蘭騎士,20151227,+7.5,203,1.75,22,3.1,105,波特蘭拓荒者,482,171,1.75,195.5,142,1.75
+5.5,667,1.75,110,2.6,88,紐奧良鵜鶘,20151226,-5.5,890,1.75,485,1.3,94,邁阿密熱火,465,354,1.75,198.5,455,1.75
+9.5,745,1.75,58,3.75,105,芝加哥公牛,20151226,-9.5,863,1.75,605,1.12,96,奧克拉荷馬雷霆,466,407,1.75,205.5,432,1.75
+7.5,904,1.75,134,2.85,83,克里夫蘭騎士,20151226,-7.5,932,1.75,556,1.25,89,金州勇士,467,521,1.75,210.5,591,1.75
-8.5,1179,1.75,610,1.15,84,聖安東尼奧馬刺,20151226,+8.5,758,1.75,99,3.5,88,休士頓火箭,468,632,1.75,204.5,387,1.75
-13.5,994,1.75,,,94,洛杉磯快艇,20151226,+13.5,675,1.75,,,84,洛杉磯湖人,469,565,1.75,206.5,434,1.75
+3.5,615,1.75,178,2.05,102,波士頓塞爾提克,20151224,-3.5,1087,1.75,511,1.5,89,夏洛特黃蜂,453,537,1.75,204.5,461,1.75
-1.5,993,1.85,420,1.65,91,曼斐斯灰熊,20151224,+1.5,598,1.65,260,1.85,100,華盛頓巫師,454,251,1.75,202.5,376,1.75
+1.5,697,1.65,289,1.75,101,休士頓火箭,20151224,-1.5,811,1.85,327,1.75,104,奧蘭多魔術,455,376,1.75,208.5,279,1.75
+7.5,520,1.75,61,3.1,108,沙加緬度國王,20151224,-7.5,872,1.75,519,1.2,106,印第安那溜馬,456,324,1.75,213.5,494,1.75
+12.5,266,1.75,,,84,紐約尼克,20151224,-12.5,363,1.75,,,91,克里夫蘭騎士,452,175,1.75,196.5,160,1.75
-3.5,691,1.75,332,1.45,119,達拉斯小牛,20151224,+3.5,290,1.75,66,2.15,118,布魯克林籃網,457,181,1.75,199.5,186,1.75
+7.5,718,1.75,100,3.1,89,波特蘭拓荒者,20151224,-7.5,562,1.75,389,1.2,115,紐奧良鵜鶘,461,192,1.75,203.5,68,1.75
-12.5,1043,1.75,,,108,聖安東尼奧馬刺,20151224,+12.5,404,1.75,,,83,明尼蘇達灰狼,460,372,1.75,196.5,283,1.75
+5.5,568,1.75,83,2.6,100,底特律活塞,20151224,-5.5,487,1.75,293,1.3,107,亞特蘭大老鷹,458,218,1.75,201.5,199,1.75
+11.5,421,1.75,,,100,費城76人,20151224,-11.5,545,1.75,,,113,密爾瓦基公鹿,459,185,1.75,195.5,246,1.75
+8.5,262,1.75,15,3.5,104,丹佛金塊,20151224,-8.5,318,1.75,262,1.15,96,鳳凰城太陽,462,263,1.75,208.5,118,1.75
-14.5,736,1.75,,,120,奧克拉荷馬雷霆,20151224,+14.5,342,1.75,,,85,洛杉磯湖人,464,308,1.75,207.5,213,1.75
+14.5,592,1.75,,,85,猶他爵士,20151224,-14.5,917,1.75,,,103,金州勇士,463,842,1.75,209.5,254,1.75
-11.5,937,1.75,,,104,曼斐斯灰熊,20151223,+11.5,754,1.75,,,90,費城76人,448,528,1.75,192.5,619,1.75
+3.5,786,1.75,185,2.15,93,底特律活塞,20151223,-3.5,1248,1.75,595,1.45,92,邁阿密熱火,450,814,1.75,195.5,470,1.75
+5.5,879,1.75,191,2.3,99,達拉斯小牛,20151223,-5.5,1103,1.75,495,1.4,103,多倫多暴龍,449,479,1.75,196.5,187,1.75
+5.5,543,1.75,88,2.6,111,洛杉磯湖人,20151223,-5.5,698,1.75,364,1.3,107,丹佛金塊,451,362,1.75,205.5,241,1.75
+3.5,612,1.75,197,2.05,99,沙加緬度國王,20151222,-3.5,924,1.75,406,1.5,113,華盛頓巫師,439,361,1.75,217.5,501,1.75
+4.5,692,1.75,190,2.15,107,奧蘭多魔術,20151222,-4.5,1121,1.75,504,1.45,99,紐約尼克,440,412,1.75,199.5,293,1.75
+6.5,848,1.75,79,3.1,99,明尼蘇達灰狼,20151222,-6.5,612,1.75,451,1.2,113,波士頓塞爾提克,441,447,1.75,210.5,374,1.75
+4.5,941,1.75,274,2.15,95,夏洛特黃蜂,20151222,-4.5,885,1.75,408,1.45,102,休士頓火箭,443,696,1.75,208.5,265,1.75
+10.5,663,1.75,,,105,布魯克林籃網,20151222,-10.5,647,1.75,,,102,芝加哥公牛,444,255,1.75,195.5,511,1.75
+10.5,257,1.75,,,97,波特蘭拓荒者,20151222,-10.5,269,1.75,,,106,亞特蘭大老鷹,442,177,1.75,194.5,158,1.75
+10.5,592,1.75,,,92,印第安那溜馬,20151222,-10.5,899,1.75,,,106,聖安東尼奧馬刺,445,401,1.75,199.5,393,1.75
+5.5,456,1.75,114,2.3,89,鳳凰城太陽,20151222,-5.5,820,1.75,394,1.4,110,猶他爵士,446,328,1.75,197.5,408,1.75
-1.5,956,1.75,443,1.65,100,奧克拉荷馬雷霆,20151222,+1.5,766,1.75,264,1.85,99,洛杉磯快艇,447,721,1.75,210.5,299,1.75
-1.5,788,1.85,326,1.7,100,明尼蘇達灰狼,20151221,+1.5,689,1.65,289,1.8,85,布魯克林籃網,432,327,1.75,203.5,268,1.75
+6.5,565,1.75,68,2.85,109,波特蘭拓荒者,20151221,-6.5,749,1.75,464,1.25,116,邁阿密熱火,433,350,1.75,193.5,340,1.75
+16.5,631,1.75,,,86,費城76人,20151221,-16.5,754,1.75,,,108,克里夫蘭騎士,434,372,1.75,197.5,368,1.75
+7.5,536,1.75,72,3.1,101,密爾瓦基公鹿,20151221,-7.5,781,1.75,438,1.2,95,鳳凰城太陽,435,468,1.75,204.5,303,1.75
+5.5,736,1.75,98,2.6,104,沙加緬度國王,20151221,-5.5,858,1.75,408,1.3,94,多倫多暴龍,437,337,1.75,207.5,265,1.75
-1.5,833,1.85,147,1.7,103,亞特蘭大老鷹,20151221,+1.5,711,1.65,127,1.8,100,奧蘭多魔術,436,189,1.75,201.5,119,1.75
+1.5,609,1.75,265,1.9,130,紐奧良鵜鶘,20151221,-1.5,1051,1.75,453,1.6,125,丹佛金塊,438,462,1.75,204.5,443,1.75
+16.5,585,1.75,,,78,洛杉磯湖人,20151220,-16.5,658,1.75,,,118,奧克拉荷馬雷霆,427,407,1.75,208.5,579,1.75
-2.5,914,1.75,407,1.65,101,夏洛特黃蜂,20151220,+2.5,450,1.75,186,1.85,109,華盛頓巫師,428,253,1.75,205.5,250,1.75
+1.5,729,1.75,321,1.9,91,芝加哥公牛,20151220,-1.5,633,1.75,264,1.6,107,紐約尼克,429,273,1.75,194.5,340,1.75
-2.5,1128,1.75,512,1.5,97,洛杉磯快艇,20151220,+2.5,561,1.75,223,2.05,107,休士頓火箭,430,458,1.75,213.5,441,1.75
-1.5,857,1.85,315,1.7,84,印第安那溜馬,20151220,+1.5,878,1.65,303,1.8,96,曼斐斯灰熊,431,188,1.75,200.5,268,1.75
+11.5,423,1.75,,,97,布魯克林籃網,20151219,-11.5,774,1.75,,,104,印第安那溜馬,417,274,1.75,205.5,416,1.75
-7.5,852,1.7,511,1.2,107,紐約尼克,20151219,+7.5,471,1.8,38,3.1,97,費城76人,416,229,1.75,195.5,327,1.75
+5.5,518,1.75,90,2.45,94,波特蘭拓荒者,20151219,-5.5,777,1.75,404,1.35,102,奧蘭多魔術,415,388,1.75,201.5,162,1.75
+3.5,648,1.75,175,2.15,109,亞特蘭大老鷹,20151219,-3.5,669,1.75,307,1.45,101,波士頓塞爾提克,419,264,1.75,206.5,258,1.75
-3.5,778,1.75,339,1.5,95,沙加緬度國王,20151219,+3.5,456,1.75,160,2.05,99,明尼蘇達灰狼,422,328,1.75,213.5,216,1.75
+8.5,517,1.75,60,3.5,107,洛杉磯快艇,20151219,-8.5,837,1.75,536,1.15,115,聖安東尼奧馬刺,420,392,1.75,196.5,247,1.75
+5.5,571,1.75,88,2.6,147,底特律活塞,20151219,-5.5,776,1.75,381,1.3,144,芝加哥公牛,421,188,1.75,195.5,332,1.75
+5.5,422,1.75,78,2.45,108,多倫多暴龍,20151219,-5.5,561,1.75,318,1.35,94,邁阿密熱火,418,234,1.75,187.5,334,1.75
+2.5,424,1.75,156,2.05,88,曼斐斯灰熊,20151219,-2.5,707,1.75,315,1.5,97,達拉斯小牛,423,197,1.75,196.5,253,1.75
+5.5,504,1.75,84,2.6,88,丹佛金塊,20151219,-5.5,628,1.75,362,1.3,97,猶他爵士,424,215,1.75,195.5,242,1.75
+19.5,805,1.75,,,112,密爾瓦基公鹿,20151219,-19.5,774,1.75,,,121,金州勇士,425,737,1.65,211.5,231,1.85
+3.5,537,1.75,148,2.15,88,紐奧良鵜鶘,20151219,-3.5,713,1.75,322,1.45,104,鳳凰城太陽,426,333,1.75,214.5,263,1.75
-2.5,719,1.75,314,1.6,99,多倫多暴龍,20151218,+2.5,849,1.75,365,1.9,109,夏洛特黃蜂,412,457,1.75,195.5,363,1.75
+3.5,887,1.75,268,1.95,100,奧克拉荷馬雷霆,20151218,-3.5,1120,1.75,527,1.55,104,克里夫蘭騎士,413,671,1.75,202.5,606,1.75
-7.5,1178,1.75,695,1.22,107,休士頓火箭,20151218,+7.5,811,1.75,124,3,87,洛杉磯湖人,414,557,1.75,215.5,617,1.75
+5.5,300,1.75,42,2.45,81,達拉斯小牛,20151217,-5.5,429,1.75,237,1.35,107,印第安那溜馬,400,222,1.75,207.5,113,1.75
-1.5,849,1.85,211,1.7,98,夏洛特黃蜂,20151217,+1.5,789,1.65,204,1.8,113,奧蘭多魔術,401,257,1.75,198.5,282,1.75
+4.5,803,1.75,124,2.3,102,明尼蘇達灰狼,20151217,-4.5,563,1.75,315,1.4,107,紐約尼克,403,292,1.75,200.5,252,1.75
-5.5,804,1.75,408,1.3,104,邁阿密熱火,20151217,+5.5,537,1.75,87,2.6,98,布魯克林籃網,402,257,1.75,191.5,333,1.75
+2.5,718,1.75,279,1.85,116,波士頓塞爾提克,20151217,-2.5,718,1.75,311,1.65,119,底特律活塞,404,327,1.75,199.5,240,1.75
