away_line,away_line_num,away_line_odds,away_money_line_num,away_money_line_odds,away_score,away_team,date,home_line,home_line_num,home_line_odds,home_money_line_num,home_money_line_odds,home_score,home_team,id,over_num,over_odds,over_under,under_num,under_odds
+10.5,656,1.75,,,100,奧蘭多魔術,20160321,-10.5,634,1.75,,,105,多倫多暴龍,426,201,1.75,208.5,138,1.75
-7.5,827,1.75,443,1.2,105,洛杉磯快艇,20160321,+7.5,504,1.75,56,3.1,109,紐奧良鵜鶘,427,405,1.75,213.5,321,1.75
-12.5,815,1.75,,,120,波士頓塞爾提克,20160321,+12.5,459,1.75,,,105,費城76人,428,353,1.75,214.5,383,1.75
-1.5,312,1.75,125,1.6,94,猶他爵士,20160321,+1.5,428,1.75,180,1.9,85,密爾瓦基公鹿,429,271,1.75,189.5,227,1.75
-6.5,786,1.75,335,1.28,88,沙加緬度國王,20160321,+6.5,547,1.75,212,2.7,80,紐約尼克,430,394,1.75,213.5,404,1.75
+10.5,582,1.75,,,101,丹佛金塊,20160320,-10.5,643,1.75,,,93,夏洛特黃蜂,416,357,1.75,217.5,345,1.75
+8.5,438,1.75,46,3.5,89,紐約尼克,20160320,-8.5,642,1.75,432,1.15,99,華盛頓巫師,418,453,1.75,208.5,211,1.75
-4.5,1071,1.75,481,1.4,115,奧克拉荷馬雷霆,20160320,+4.5,392,1.75,98,2.3,111,印第安那溜馬,417,446,1.75,211.5,195,1.75
+8.5,150,1.75,10,3.5,103,布魯克林籃網,20160320,-8.5,299,1.75,239,1.15,115,底特律活塞,419,146,1.75,210.5,114,1.75
-5.5,941,1.75,431,1.35,101,克里夫蘭騎士,20160320,+5.5,418,1.75,114,2.45,122,邁阿密熱火,421,254,1.75,205.5,464,1.75
+7.5,537,1.75,75,3.1,97,休士頓火箭,20160320,-7.5,523,1.75,349,1.2,109,亞特蘭大老鷹,420,407,1.75,217.5,260,1.75
+1.5,260,1.75,90,1.9,85,猶他爵士,20160320,-1.5,442,1.75,200,1.6,92,芝加哥公牛,423,173,1.75,195.5,161,1.75
-10.5,575,1.75,,,102,洛杉磯快艇,20160320,+10.5,555,1.75,,,113,曼斐斯灰熊,422,359,1.75,200.5,233,1.75
+4.5,830,1.7,358,2.05,79,金州勇士,20160320,-4.5,854,1.8,426,1.5,87,聖安東尼奧馬刺,424,450,1.75,219.5,537,1.75
-16.5,691,1.75,,,111,奧克拉荷馬雷霆,20160319,+16.5,531,1.75,,,97,費城76人,408,484,1.75,220.5,381,1.75
-10.5,441,1.75,,,109,克里夫蘭騎士,20160319,+10.5,312,1.75,,,103,奧蘭多魔術,409,197,1.75,210.5,182,1.75
+2.5,427,1.75,128,1.95,91,波士頓塞爾提克,20160319,-2.5,573,1.75,251,1.55,105,多倫多暴龍,410,287,1.75,210.5,132,1.75
+8.5,290,1.75,30,3.5,108,沙加緬度國王,20160319,-8.5,406,1.75,252,1.15,115,底特律活塞,411,244,1.75,219.5,142,1.75
-3.5,951,1.75,440,1.45,117,波特蘭拓荒者,20160319,+3.5,538,1.75,204,2.15,112,紐奧良鵜鶘,413,566,1.75,220.5,223,1.75
+9.5,589,1.75,41,3.75,111,明尼蘇達灰狼,20160319,-9.5,675,1.75,490,1.12,116,休士頓火箭,412,397,1.75,225.5,379,1.75
-9.5,1013,1.75,583,1.1,130,金州勇士,20160319,+9.5,557,1.75,49,4,112,達拉斯小牛,414,655,1.75,227.5,377,1.75
+3.5,255,1.75,91,2.05,95,鳳凰城太陽,20160319,-3.5,656,1.75,272,1.5,90,洛杉磯湖人,415,259,1.75,215.5,219,1.75
+1.5,384,1.75,160,1.8,101,多倫多暴龍,20160318,-1.5,459,1.75,185,1.7,94,印第安那溜馬,401,289,1.75,203.5,145,1.75
-9.5,473,1.75,300,1.12,99,華盛頓巫師,20160318,+9.5,239,1.75,24,3.75,94,費城76人,400,230,1.75,215.5,163,1.75
+5.5,557,1.75,98,2.3,109,夏洛特黃蜂,20160318,-5.5,967,1.75,453,1.4,106,邁阿密熱火,402,447,1.75,209.5,502,1.75
+11.5,336,1.75,,,86,曼斐斯灰熊,20160318,-11.5,341,1.75,,,96,密爾瓦基公鹿,404,213,1.75,201.5,152,1.75
+8.5,480,1.75,35,3.5,98,丹佛金塊,20160318,-8.5,884,1.75,518,1.15,116,亞特蘭大老鷹,403,424,1.75,211.5,350,1.75
+7.5,194,1.75,13,2.85,102,布魯克林籃網,20160318,-7.5,537,1.75,308,1.25,118,芝加哥公牛,405,141,1.75,212.5,194,1.75
+11.5,610,1.75,,,110,波特蘭拓荒者,20160318,-11.5,840,1.75,,,118,聖安東尼奧馬刺,406,768,1.75,205.5,341,1.75
+9.5,301,1.75,19,3.5,69,鳳凰城太陽,20160318,-9.5,413,1.75,301,1.15,103,猶他爵士,407,164,1.75,198.5,265,1.75
+5.5,211,1.75,33,2.6,96,芝加哥公牛,20160317,-5.5,339,1.75,173,1.3,117,華盛頓巫師,482,150,1.75,213.5,113,1.75
+5.5,721,1.75,4,2.6,98,達拉斯小牛,20160317,-5.5,556,1.75,66,1.3,99,克里夫蘭騎士,483,356,1.75,206.5,387,1.75
+10.5,502,1.75,,,99,奧蘭多魔術,20160317,-10.5,556,1.75,,,107,夏洛特黃蜂,484,456,1.75,213.5,216,1.75
-5.5,1008,1.7,467,1.35,130,奧克拉荷馬雷霆,20160317,+5.5,471,1.8,80,2.45,109,波士頓塞爾提克,481,384,1.75,219.5,328,1.75
+1.5,730,1.65,335,1.7,118,亞特蘭大老鷹,20160317,-1.5,612,1.85,273,1.8,114,底特律活塞,485,360,1.75,199.5,390,1.75
-3.5,321,1.75,139,1.5,114,明尼蘇達灰狼,20160317,+3.5,249,1.75,83,2.05,108,曼斐斯灰熊,489,119,1.75,207.5,132,1.75
+4.5,818,1.75,248,2.15,122,洛杉磯快艇,20160317,-4.5,687,1.75,316,1.45,106,休士頓火箭,486,514,1.75,216.5,309,1.75
+3.5,445,1.75,128,2.05,123,紐奧良鵜鶘,20160317,-3.5,771,1.75,374,1.5,108,沙加緬度國王,487,354,1.75,223.5,282,1.75
+15.5,431,1.75,,,85,紐約尼克,20160317,-15.5,867,1.75,,,121,金州勇士,488,573,1.75,221.5,351,1.75
+3.5,296,1.75,87,2.05,110,丹佛金塊,20160316,-3.5,490,1.75,219,1.5,116,奧蘭多魔術,476,254,1.75,213.5,123,1.75
+3.5,626,1.75,217,1.95,98,波士頓塞爾提克,20160316,-3.5,832,1.75,365,1.55,103,印第安那溜馬,475,519,1.75,208.5,343,1.75
+7.5,693,1.75,68,3.1,114,費城76人,20160316,-7.5,557,1.75,384,1.2,131,布魯克林籃網,477,444,1.75,209.5,415,1.75
-3.5,924,1.75,402,1.5,107,多倫多暴龍,20160316,+3.5,544,1.75,150,2.05,89,密爾瓦基公鹿,478,499,1.75,207.5,210,1.75
+8.5,736,1.75,82,3.3,87,洛杉磯快艇,20160316,-8.5,754,1.75,535,1.18,108,聖安東尼奧馬刺,479,586,1.75,202.5,517,1.75
-6.5,937,1.75,418,1.3,106,沙加緬度國王,20160316,+6.5,574,1.75,142,2.6,98,洛杉磯湖人,480,406,1.75,219.5,445,1.75
+6.5,696,1.75,132,2.85,107,達拉斯小牛,20160315,-6.5,985,1.75,537,1.25,96,夏洛特黃蜂,466,584,1.75,211.5,424,1.75
+9.5,376,1.75,29,3.75,109,芝加哥公牛,20160315,-9.5,241,1.75,230,1.12,107,多倫多暴龍,468,214,1.75,207.5,123,1.75
+8.5,272,1.75,19,3.5,119,丹佛金塊,20160315,-8.5,348,1.75,275,1.15,124,邁阿密熱火,467,250,1.75,210.5,137,1.75
+1.5,312,1.75,125,1.9,81,底特律活塞,20160315,-1.5,401,1.75,179,1.6,124,華盛頓巫師,469,192,1.75,208.5,126,1.75
+7.5,759,1.75,61,3.1,94,波特蘭拓荒者,20160315,-7.5,604,1.75,471,1.2,128,奧克拉荷馬雷霆,471,479,1.75,217.5,405,1.75
+10.5,376,1.75,,,81,曼斐斯灰熊,20160315,-10.5,307,1.75,,,130,休士頓火箭,470,155,1.75,208.5,148,1.75
-1.5,872,1.85,403,1.7,104,明尼蘇達灰狼,20160315,+1.5,626,1.65,282,1.8,107,鳳凰城太陽,472,388,1.75,221.5,399,1.75
-7.5,577,1.75,314,1.2,85,克里夫蘭騎士,20160315,+7.5,339,1.75,42,3.1,94,猶他爵士,474,223,1.75,194.5,217,1.75
+15.5,576,1.75,,,107,紐奧良鵜鶘,20160315,-15.5,765,1.75,,,125,金州勇士,473,535,1.75,230.5,451,1.75
-2.5,950,1.75,425,1.55,114,克里夫蘭騎士,20160314,+2.5,602,1.75,225,1.95,90,洛杉磯快艇,461,477,1.75,208.5,406,1.75
-2.5,582,1.75,269,1.55,108,猶他爵士,20160314,+2.5,814,1.75,288,1.95,99,沙加緬度國王,463,506,1.75,206.5,288,1.75
+5.5,516,1.75,100,2.6,75,印第安那溜馬,20160314,-5.5,794,1.75,401,1.3,104,亞特蘭大老鷹,462,421,1.75,198.5,300,1.75
-2.5,868,1.75,393,1.5,109,密爾瓦基公鹿,20160314,+2.5,459,1.75,141,2.05,100,布魯克林籃網,464,335,1.75,206.5,309,1.75
-1.5,743,1.7,330,1.65,90,紐約尼克,20160314,+1.5,827,1.8,299,1.85,87,洛杉磯湖人,465,665,1.75,209.5,308,1.75
-1.5,526,1.85,229,1.7,112,印第安那溜馬,20160313,+1.5,688,1.65,323,1.8,105,達拉斯小牛,451,426,1.75,205.5,259,1.75
+5.5,283,1.75,40,2.6,104,邁阿密熱火,20160313,-5.5,329,1.75,184,1.3,112,多倫多暴龍,454,244,1.75,202.5,141,1.75
-10.5,579,1.75,,,125,底特律活塞,20160313,+10.5,485,1.75,,,111,費城76人,452,284,1.75,205.5,318,1.75
+5.5,549,1.75,120,2.45,109,休士頓火箭,20160313,-5.5,797,1.75,405,1.35,125,夏洛特黃蜂,453,469,1.75,215.5,287,1.75
+5.5,527,1.75,110,2.6,92,紐奧良鵜鶘,20160313,-5.5,571,1.75,285,1.3,103,密爾瓦基公鹿,456,324,1.75,212.5,261,1.75
+13.5,357,1.75,,,83,曼斐斯灰熊,20160313,-13.5,233,1.75,,,95,亞特蘭大老鷹,455,144,1.75,194.5,150,1.75
+7.5,678,1.75,85,3.1,85,奧克拉荷馬雷霆,20160313,-7.5,670,1.75,463,1.2,93,聖安東尼奧馬刺,457,500,1.75,211.5,340,1.75
-1.5,473,1.75,227,1.65,100,華盛頓巫師,20160313,+1.5,313,1.75,140,1.85,116,丹佛金塊,458,340,1.75,213.5,98,1.75
+8.5,282,1.75,24,3.5,84,奧蘭多魔術,20160313,-8.5,422,1.75,297,1.15,121,波特蘭拓荒者,460,303,1.75,215.5,100,1.75
+18.5,547,1.75,,,116,鳳凰城太陽,20160313,-18.5,573,1.75,,,123,金州勇士,459,425,1.75,228.5,376,1.75
+4.5,756,1.75,120,2.45,103,底特律活塞,20160312,-4.5,812,1.75,425,1.35,118,夏洛特黃蜂,442,605,1.75,204.5,231,1.75
-3.5,657,1.75,307,1.55,89,布魯克林籃網,20160312,+3.5,513,1.75,145,1.95,95,費城76人,441,426,1.75,211.5,264,1.75
+5.5,504,1.75,81,2.6,102,休士頓火箭,20160312,-5.5,786,1.75,432,1.3,98,波士頓塞爾提克,443,441,1.75,223.5,302,1.75
+13.5,439,1.75,,,99,明尼蘇達灰狼,20160312,-13.5,722,1.75,,,96,奧克拉荷馬雷霆,446,437,1.75,224.5,370,1.75
-2.5,375,1.75,159,1.55,114,紐奧良鵜鶘,20160312,+2.5,317,1.75,138,1.95,121,曼斐斯灰熊,444,229,1.75,204.5,139,1.75
-4.5,437,1.75,199,1.5,118,邁阿密熱火,20160312,+4.5,391,1.75,139,2.05,96,芝加哥公牛,445,216,1.75,200.5,233,1.75
+3.5,312,1.75,94,2.15,93,華盛頓巫師,20160312,-3.5,400,1.75,189,1.45,114,猶他爵士,447,138,1.85,196.5,239,1.65
+1.5,290,1.8,120,1.85,107,奧蘭多魔術,20160312,-1.5,461,1.7,205,1.65,100,沙加緬度國王,448,214,1.75,219.5,157,1.75
+11.5,409,1.75,,,94,紐約尼克,20160312,-11.5,749,1.75,,,101,洛杉磯快艇,449,501,1.75,205.5,311,1.75
+13.5,615,1.85,,,112,波特蘭拓荒者,20160312,-13.5,669,1.65,,,128,金州勇士,450,713,1.7,228.5,212,1.8
+4.5,615,1.85,121,2.3,96,亞特蘭大老鷹,20160311,-4.5,1176,1.65,551,1.4,104,多倫多暴龍,437,700,1.65,199.5,454,1.85
,,,,,101,芝加哥公牛,20160311,,,,,,109,聖安東尼奧馬刺,,,,,,
+8.5,807,1.75,76,3.5,98,鳳凰城太陽,20160311,-8.5,815,1.75,499,1.15,116,丹佛金塊,439,589,1.75,215.5,380,1.75
-9.5,126,1.75,104,1.12,120,克里夫蘭騎士,20160311,+9.5,115,1.75,3,3.75,108,洛杉磯湖人,440,90,1.75,211.5,63,1.75
+8.5,324,1.75,32,3.5,96,曼斐斯灰熊,20160310,-8.5,400,1.75,267,1.15,116,波士頓塞爾提克,429,187,1.75,206.5,126,1.75
-9.5,318,1.75,270,1.12,118,休士頓火箭,20160310,+9.5,314,1.75,21,3.75,104,費城76人,430,222,1.75,217.5,122,1.75
+8.5,864,1.75,61,3.5,113,紐奧良鵜鶘,20160310,-8.5,506,1.75,411,1.15,122,夏洛特黃蜂,428,428,1.75,210.5,322,1.75
-4.5,1042,1.75,457,1.45,108,邁阿密熱火,20160310,+4.5,536,1.75,122,2.15,114,密爾瓦基公鹿,431,394,1.75,199.5,371,1.75
+2.5,570,1.75,171,2.05,102,底特律活塞,20160310,-2.5,957,1.75,394,1.5,96,達拉斯小牛,432,425,1.75,205.5,209,1.75
+2.5,565,1.75,229,1.9,128,紐約尼克,20160310,-2.5,522,1.75,233,1.6,97,鳳凰城太陽,433,298,1.75,206.5,196,1.75
+6.5,508,1.8,74,2.85,108,洛杉磯快艇,20160310,-6.5,1005,1.7,550,1.25,120,奧克拉荷馬雷霆,434,686,1.75,216.5,268,1.75
-7.5,412,1.75,285,1.2,120,克里夫蘭騎士,20160310,+7.5,251,1.75,27,3.1,111,沙加緬度國王,435,208,1.75,218.5,178,1.75
+15.5,433,1.75,,,94,猶他爵士,20160310,-15.5,667,1.75,,,115,金州勇士,436,573,1.75,210.5,183,1.75
+12.5,703,1.75,,,99,布魯克林籃網,20160309,-12.5,660,1.75,,,104,多倫多暴龍,422,674,1.75,210.5,408,1.75
-10.5,824,1.75,,,116,聖安東尼奧馬刺,20160309,+10.5,536,1.75,,,91,明尼蘇達灰狼,423,452,1.75,206.5,421,1.75
+2.5,755,1.75,308,1.85,91,亞特蘭大老鷹,20160309,-2.5,979,1.75,396,1.65,84,猶他爵士,425,479,1.75,192.5,448,1.75
+1.5,561,1.65,150,1.75,94,紐約尼克,20160309,-1.5,441,1.85,214,1.75,110,丹佛金塊,424,365,1.75,207.5,134,1.75
+6.5,387,1.75,68,2.85,109,華盛頓巫師,20160309,-6.5,615,1.75,311,1.25,116,波特蘭拓荒者,426,442,1.75,214.5,167,1.75
-4.5,986,1.75,417,1.45,98,奧蘭多魔術,20160309,+4.5,627,1.75,177,2.15,107,洛杉磯湖人,427,430,1.75,212.5,362,1.75
+9.5,695,1.8,51,4.5,103,明尼蘇達灰狼,20160308,-9.5,652,1.7,530,1.08,108,夏洛特黃蜂,415,658,1.75,215.5,308,1.75
-7.5,966,1.75,536,1.2,91,聖安東尼奧馬刺,20160308,+7.5,478,1.75,55,3.1,99,印第安那溜馬,416,500,1.75,196.5,379,1.75
+14.5,596,1.75,,,106,曼斐斯灰熊,20160308,-14.5,764,1.75,,,103,克里夫蘭騎士,417,410,1.75,200.5,365,1.75
-1.5,633,1.75,272,1.55,112,沙加緬度國王,20160308,+1.5,732,1.75,314,1.95,115,紐奧良鵜鶘,419,419,1.75,219.5,303,1.75
+7.5,577,1.75,45,2.85,90,密爾瓦基公鹿,20160308,-7.5,716,1.75,475,1.25,100,芝加哥公牛,418,379,1.75,213.5,300,1.75
-4.5,712,1.75,364,1.4,109,洛杉磯快艇,20160308,+4.5,712,1.75,141,2.3,90,達拉斯小牛,420,533,1.75,211.5,329,1.75
+14.5,528,1.8,,,113,奧蘭多魔術,20160308,-14.5,815,1.7,,,119,金州勇士,421,552,1.75,226.5,347,1.75
-8.5,897,1.75,526,1.15,104,奧克拉荷馬雷霆,20160307,+8.5,505,1.75,39,3.5,96,密爾瓦基公鹿,409,453,1.75,217.5,362,1.75
-18.5,305,1.75,,,95,金州勇士,20160307,+18.5,281,1.75,,,112,洛杉磯湖人,408,198,1.75,220.5,200,1.75
+11.5,595,1.75,,,109,鳳凰城太陽,20160307,-11.5,613,1.75,,,100,曼斐斯灰熊,410,285,1.75,206.5,433,1.75
-4.5,948,1.75,409,1.4,114,達拉斯小牛,20160307,+4.5,414,1.75,91,2.3,116,丹佛金塊,411,575,1.75,211.5,192,1.75
-1.5,781,1.85,298,1.65,103,波特蘭拓荒者,20160307,+1.5,646,1.65,273,1.85,123,底特律活塞,413,488,1.75,206.5,242,1.75
+14.5,317,1.75,,,98,費城76人,20160307,-14.5,267,1.75,,,103,邁阿密熱火,412,111,1.75,210.5,280,1.75
+7.5,550,1.75,70,3.5,113,休士頓火箭,20160307,-7.5,730,1.75,440,1.15,107,多倫多暴龍,414,480,1.75,215.5,228,1.75
+8.5,547,1.75,36,3.5,103,波士頓塞爾提克,20160306,-8.5,695,1.75,468,1.15,120,克里夫蘭騎士,402,306,1.75,211.5,399,1.75
+3.5,651,1.75,180,1.9,100,印第安那溜馬,20160306,-3.5,599,1.75,264,1.6,99,華盛頓巫師,403,387,1.75,208.5,330,1.75
+3.5,476,1.75,146,1.95,106,猶他爵士,20160306,-3.5,827,1.75,347,1.55,94,紐奧良鵜鶘,401,257,1.75,196.5,297,1.75
-6.5,555,1.75,307,1.25,89,底特律活塞,20160306,+6.5,494,1.75,90,2.85,102,紐約尼克,400,377,1.75,200.5,226,1.75
+9.5,326,1.75,57,3.75,118,布魯克林籃網,20160306,-9.5,581,1.75,316,1.12,132,明尼蘇達灰狼,404,279,1.75,213.5,238,1.75
+10.5,422,1.75,,,94,沙加緬度國王,20160306,-10.5,744,1.75,,,104,聖安東尼奧馬刺,406,385,1.75,211.5,385,1.75
+1.5,608,1.75,273,1.8,100,休士頓火箭,20160306,-1.5,718,1.75,312,1.7,108,芝加哥公牛,405,342,1.75,216.5,322,1.75
+6.5,381,1.75,44,2.85,107,亞特蘭大老鷹,20160306,-6.5,678,1.75,381,1.25,97,洛杉磯快艇,407,476,1.65,202.5,243,1.85
-9.5,427,1.65,299,1.08,112,邁阿密熱火,20160305,+9.5,229,1.85,15,4.3,102,費城76人,481,170,1.75,209.5,150,1.75
+13.5,581,1.75,,,102,鳳凰城太陽,20160305,-13.5,488,1.75,,,84,奧蘭多魔術,479,339,1.75,215.5,413,1.75
+3.5,690,1.75,159,1.95,101,印第安那溜馬,20160305,-3.5,810,1.75,396,1.55,108,夏洛特黃蜂,480,617,1.75,203.5,345,1.75
+7.5,606,1.75,95,3.1,115,波特蘭拓荒者,20160305,-7.5,789,1.75,421,1.2,117,多倫多暴龍,482,487,1.75,209.5,218,1.75
+10.5,473,1.75,,,104,紐約尼克,20160305,-10.5,640,1.75,,,105,波士頓塞爾提克,483,285,1.75,209.5,405,1.75
+6.5,445,1.75,63,2.7,101,明尼蘇達灰狼,20160305,-6.5,591,1.75,330,1.28,116,密爾瓦基公鹿,484,428,1.75,215.5,252,1.75
-1.5,579,1.85,208,1.7,88,猶他爵士,20160305,+1.5,852,1.65,378,1.8,94,曼斐斯灰熊,486,312,1.75,191.5,402,1.75
+8.5,306,1.75,24,3.5,83,華盛頓巫師,20160305,-8.5,380,1.75,285,1.15,108,克里夫蘭騎士,485,220,1.75,210.5,143,1.75
+6.5,403,1.75,67,2.85,121,布魯克林籃網,20160305,-6.5,742,1.75,384,1.25,120,丹佛金塊,487,353,1.75,209.5,202,1.75
-10.5,375,1.75,,,106,亞特蘭大老鷹,20160305,+10.5,305,1.75,,,77,洛杉磯湖人,488,258,1.75,206.5,145,1.75
+14.5,482,1.75,,,92,鳳凰城太陽,20160304,-14.5,890,1.75,,,108,邁阿密熱火,475,374,1.75,209.5,700,1.75
-9.5,557,1.75,387,1.1,94,聖安東尼奧馬刺,20160304,+9.5,536,1.75,40,4,86,紐奧良鵜鶘,476,330,1.75,208.5,267,1.75
+7.5,521,1.75,38,3.1,104,沙加緬度國王,20160304,-7.5,589,1.75,347,1.2,101,達拉斯小牛,477,428,1.75,223.5,240,1.75
+7.5,811,1.75,81,3.1,106,奧克拉荷馬雷霆,20160304,-7.5,778,1.75,525,1.2,121,金州勇士,478,503,1.75,231.5,541,1.75
+3.5,481,1.75,144,2.05,89,芝加哥公牛,20160303,-3.5,535,1.75,262,1.5,102,奧蘭多魔術,465,332,1.75,215.5,257,1.75
-10.5,367,1.75,,,119,夏洛特黃蜂,20160303,+10.5,238,1.75,,,99,費城76人,464,192,1.75,209.5,111,1.75
+6.5,449,1.75,38,2.7,94,猶他爵士,20160303,-6.5,1083,1.75,577,1.28,104,多倫多暴龍,466,448,1.75,194.5,297,1.75
+6.5,522,1.75,97,2.6,93,波特蘭拓荒者,20160303,-6.5,628,1.75,310,1.3,116,波士頓塞爾提克,467,377,1.75,220.5,199,1.75
